CountryCode,CountryName,ContinentCode,Continent
SMR,San Marino,EUR,Europe
PSE,"occupied Palestinian territory, including east Jerusalem",EMR,Eastern Mediterranean
PRI,Puerto Rico,AMR,Americas
ARE,United Arab Emirates,EMR,Eastern Mediterranean
BRB,Barbados,AMR,Americas
MCO,Monaco,EUR,Europe
ATG,Antigua and Barbuda,AMR,Americas
LCA,Saint Lucia,AMR,Americas
MKD,North Macedonia,EUR,Europe
LBN,Lebanon,EMR,Eastern Mediterranean
POL,Poland,EUR,Europe
BOL,Bolivia (Plurinational State of),AMR,Americas
IRN,Iran (Islamic Republic of),EMR,Eastern Mediterranean
OMN,Oman,EMR,Eastern Mediterranean
SEN,Senegal,AFR,Africa
STP,Sao Tome and Principe,AFR,Africa
UKR,Ukraine,EUR,Europe
KGZ,Kyrgyzstan,EUR,Europe
MWI,Malawi,AFR,Africa
CIV,Cote d'Ivoire,AFR,Africa
BHR,Bahrain,EMR,Eastern Mediterranean
MUS,Mauritius,AFR,Africa
MYS,Malaysia,WPR,Western Pacific
GHA,Ghana,AFR,Africa
TUR,Türkiye,EUR,Europe
LAO,Lao People's Democratic Republic,WPR,Western Pacific
TCD,Chad,AFR,Africa
SRB,Serbia,EUR,Europe
MNE,Montenegro,EUR,Europe
VCT,Saint Vincent and the Grenadines,AMR,Americas
GMB,Gambia,AFR,Africa
ETH,Ethiopia,AFR,Africa
HTI,Haiti,AMR,Americas
MLT,Malta,EUR,Europe
ALB,Albania,EUR,Europe
CMR,Cameroon,AFR,Africa
THA,Thailand,SEAR,South-East Asia
BGR,Bulgaria,EUR,Europe
LVA,Latvia,EUR,Europe
PRT,Portugal,EUR,Europe
DMA,Dominica,AMR,Americas
BTN,Bhutan,SEAR,South-East Asia
SYR,Syrian Arab Republic,EMR,Eastern Mediterranean
PER,Peru,AMR,Americas
NRU,Nauru,WPR,Western Pacific
GIN,Guinea,AFR,Africa
CHL,Chile,AMR,Americas
AFG,Afghanistan,EMR,Eastern Mediterranean
VNM,Viet Nam,WPR,Western Pacific
TZA,United Republic of Tanzania,AFR,Africa
IND,India,SEAR,South-East Asia
UGA,Uganda,AFR,Africa
KNA,Saint Kitts and Nevis,AMR,Americas
ISR,Israel,EUR,Europe
NOR,Norway,EUR,Europe
IRQ,Iraq,EMR,Eastern Mediterranean
SYC,Seychelles,AFR,Africa
TTO,Trinidad and Tobago,AMR,Americas
ZWE,Zimbabwe,AFR,Africa
DJI,Djibouti,EMR,Eastern Mediterranean
NGA,Nigeria,AFR,Africa
BGD,Bangladesh,SEAR,South-East Asia
KEN,Kenya,AFR,Africa
SSD,South Sudan,AFR,Africa
NPL,Nepal,SEAR,South-East Asia
MDG,Madagascar,AFR,Africa
FSM,Micronesia (Federated States of),WPR,Western Pacific
BIH,Bosnia and Herzegovina,EUR,Europe
SOM,Somalia,EMR,Eastern Mediterranean
BWA,Botswana,AFR,Africa
ARM,Armenia,EUR,Europe
BLR,Belarus,EUR,Europe
BLZ,Belize,AMR,Americas
GNQ,Equatorial Guinea,AFR,Africa
PAK,Pakistan,EMR,Eastern Mediterranean
LTU,Lithuania,EUR,Europe
ZMB,Zambia,AFR,Africa
SLE,Sierra Leone,AFR,Africa
MEX,Mexico,AMR,Americas
SUR,Suriname,AMR,Americas
TUV,Tuvalu,WPR,Western Pacific
USA,United States of America,AMR,Americas
JAM,Jamaica,AMR,Americas
ISL,Iceland,EUR,Europe
JOR,Jordan,EMR,Eastern Mediterranean
FIN,Finland,EUR,Europe
HRV,Croatia,EUR,Europe
DNK,Denmark,EUR,Europe
SWE,Sweden,EUR,Europe
TGO,Togo,AFR,Africa
LBR,Liberia,AFR,Africa
HND,Honduras,AMR,Americas
COD,Democratic Republic of the Congo,AFR,Africa
COK,Cook Islands,WPR,Western Pacific
GTM,Guatemala,AMR,Americas
KHM,Cambodia,WPR,Western Pacific
AGO,Angola,AFR,Africa
COM,Comoros,AFR,Africa
ARG,Argentina,AMR,Americas
QAT,Qatar,EMR,Eastern Mediterranean
SWZ,Eswatini,AFR,Africa
MOZ,Mozambique,AFR,Africa
GNB,Guinea-Bissau,AFR,Africa
COG,Congo,AFR,Africa
RUS,Russian Federation,EUR,Europe
TUN,Tunisia,EMR,Eastern Mediterranean
KOR,Republic of Korea,WPR,Western Pacific
IDN,Indonesia,SEAR,South-East Asia
SVK,Slovakia,EUR,Europe
ITA,Italy,EUR,Europe
NLD,Netherlands (Kingdom of the),EUR,Europe
IRL,Ireland,EUR,Europe
SVN,Slovenia,EUR,Europe
CZE,Czechia,EUR,Europe
DEU,Germany,EUR,Europe
GRD,Grenada,AMR,Americas
MDV,Maldives,SEAR,South-East Asia
VUT,Vanuatu,WPR,Western Pacific
DOM,Dominican Republic,AMR,Americas
SGP,Singapore,WPR,Western Pacific
URY,Uruguay,AMR,Americas
ZAF,South Africa,AFR,Africa
BFA,Burkina Faso,AFR,Africa
NIC,Nicaragua,AMR,Americas
PNG,Papua New Guinea,WPR,Western Pacific
VEN,Venezuela (Bolivarian Republic of),AMR,Americas
COL,Colombia,AMR,Americas
NAM,Namibia,AFR,Africa
DZA,Algeria,AFR,Africa
CPV,Cabo Verde,AFR,Africa
MLI,Mali,AFR,Africa
NIU,Niue,WPR,Western Pacific
YEM,Yemen,EMR,Eastern Mediterranean
TKM,Turkmenistan,EUR,Europe
BRA,Brazil,AMR,Americas
MNG,Mongolia,WPR,Western Pacific
TLS,Timor-Leste,SEAR,South-East Asia
AUT,Austria,EUR,Europe
GRC,Greece,EUR,Europe
WSM,Samoa,WPR,Western Pacific
CHE,Switzerland,EUR,Europe
CYP,Cyprus,EUR,Europe
AND,Andorra,EUR,Europe
CAN,Canada,AMR,Americas
HUN,Hungary,EUR,Europe
ESP,Spain,EUR,Europe
