CountryCode,Year,GDPCapita,ForeignInvestment,LifeExpectancy,Population
ABW,2000,20681.02303,130558659.2,73.569,90588.0
ABW,2001,20740.13258,263240223.5,73.647,91439.0
ABW,2002,21307.24825,-338659217.9,73.726,92074.0
ABW,2003,21949.486,-163016759.8,73.752,93128.0
ABW,2004,23700.63199,97541899.44,73.576,95138.0
ABW,2005,24171.83713,198934471.1,73.811,97635.0
ABW,2006,24845.65848,-233138804.5,74.026,99405.0
ABW,2007,26736.30894,510558659.2,74.21,100150.0
ABW,2008,28171.9094,-16089385.47,74.147,100917.0
ABW,2009,25134.77123,12122905.03,74.56,101604.0
ABW,2010,24093.14015,-184022346.4,75.404,101838.0
ABW,2011,25712.3843,-485027933.0,75.465,102591.0
ABW,2012,25119.66554,317486033.5,75.531,104110.0
ABW,2013,25813.57673,-222873555.1,75.636,105675.0
ABW,2014,26129.83906,-243442685.6,75.601,106807.0
ABW,2015,27458.22533,37200481.56,75.683,107906.0
ABW,2016,27441.52966,-27969592.94,75.617,108727.0
ABW,2017,28440.05196,-79282916.73,75.903,108735.0
ABW,2018,30082.12764,-113691918.7,76.072,108908.0
ABW,2019,31096.20507,134984404.0,76.248,109203.0
ABW,2020,22855.93232,-141023762.0,75.723,108587.0
ABW,2021,27200.06108,-138400826.4,74.626,107700.0
ABW,2022,30559.53353,-124694278.1,74.992,107310.0
ABW,2023,33984.79062,,,107359.0
AFG,2000,174.9309914,,55.298,20130327.0
AFG,2001,138.7068217,,55.798,20284307.0
AFG,2002,178.9540884,,56.454,21378117.0
AFG,2003,198.8711157,,57.344,22733049.0
AFG,2004,221.7636539,,57.944,23560654.0
AFG,2005,254.1842491,,58.361,24404567.0
AFG,2006,274.2185536,,58.684,25424094.0
AFG,2007,376.223152,,59.111,25909852.0
AFG,2008,381.733238,-47951776.13,59.852,26482622.0
AFG,2009,452.0537055,-55860135.47,60.364,27466101.0
AFG,2010,560.6215055,-192022479.5,60.851,28284089.0
AFG,2011,606.6946763,-51036283.61,61.419,29347708.0
AFG,2012,651.4171345,-65684511.34,61.923,30560034.0
